index,Where do you live now?,Has anyone in your family or friend circle opted for energy-efficient solutions while renovating their homes?,What is the property in renovation to be used for:,Which type of neighborhood do you live in?,How many members do you live with?,What’s the type of house you live in:,Why would you renovate your home if you want to?,Who would you seek guidance from for renovating your home?,What would motivate you to consider energy-efficient renovation solutions?,Which of the following features do you care about most when using a home renovation app?,Under which scenarios will you notice and check a home renovation service?,Why do you prefer to choose a specific home renovation company?,What’s your budget for home renovation if you need one?,Would you consider opting for energy-efficient solutions if they cost you slightly more?,How much more are you willing to pay for energy-efficient materials compared to traditional materials?,How much would you like to pay for a consultation service for energy efficiency of your home?,What aspects of home decor / renovation do you value the most?,For  what part of buildings do you think is the most necessary to use new energy materials?,How many new energy materials are used in your current home?,What do you think is the most important to a high energy efficiency building?,Which room or which part do you want to renovate most at present?, How frequently will you consider renovating your home?,What is the duration you expect to renovate?,Do you have knowledge of energy efficiency materials used in home decor/ renovation?,"Since you have previous experience or knowledge of energy efficiency materials used in home decor/ renovation, will you still consult professional services on renovation?","Since you do not have knowledge of energy efficiency materials used in home decor/ renovation,How will you decorate/ renovate your home?"
21,Australia,Yes,Home,Urban,3~5,Apartment/Unit,Enhance property value,Renovation service providers,Solutions recommended by reputed technical experts,Energy efficiency evaluation.,Top Google Search Results,Good reputation/ review ratings among previous customers,Between $100K and $200K,Maybe,5% ~ 10%,$20/m2 ~  $30/m2,Comfort level,Other(please fill in)〖Floor〗,Below 10%,Living comfortably,Bedroom,I have never renovated my home.,Less than 2 months.,No,pass,Consult professional services/ companies for help
22,North America,Not sure,Home,Pocket Neighborhood,1~2,Apartment/Unit,Enhance property value,Trustworthy friend,Government reforms,Energy efficiency evaluation.,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Attracted by its previous successful cases with other customers,Between $100K and $200K,Yes,<5%,<$10/m2,Efficiency,Window,Below 10%,Fair/acceptable price,Bedroom,5~10 years,Less than 2 months.,No,pass,Consult professional services/ companies for help
23,North America,No,Home,Sub-urban,3~5,Stand alone house,Improve the functionality of home,Online forums,Less costly energy-efficient solutions,Price estimation,Top Google Search Results,Good reputation/ review ratings among previous customers,Between $100K and $200K,Yes,10% ~  20%,$10/m2 ~  $20/m2,Comfort level,Wall,0%,Living comfortably,Kitchen,5~10 years,Less than 2 months.,No,pass,Ask experienced friends to help
24,Europe,Yes,Home,Sub-urban,3~5,Duplex,Lower energy costs,Online forums,Government reforms,Energy efficiency solutions,Top Google Search Results,Attracted by its previous successful cases with other customers,Between $40K and $100K,Yes,<5%,$10/m2 ~  $20/m2,Comfort level,Wall,Below 10%,Living comfortably,Bedroom,1~5 years,3 to 6 months.,Yes,Yes,pass
25,North America,Not sure,Home,Historic,1~2,Apartment/Unit,Lower energy costs,Trustworthy friend,Less costly energy-efficient solutions,Energy efficiency solutions,"Video ads on streaming platforms(Youtube, Tiktok)",Attracted by its previous successful cases with other customers,Between $100K and $200K,No,5% ~ 10%,$10/m2 ~  $20/m2,Efficiency,Roof,Below 10%,Living comfortably,Bathroom,1~5 years,3 to 6 months.,No,pass,Search information and do most work on my own
26,North America,Not sure,Home,Sub-urban,1~2,Stand alone house,Improve the functionality of home,Renovation service providers,Less costly energy-efficient solutions,Energy efficiency evaluation.,Top Google Search Results,Good reputation/ review ratings among previous customers,Between $40K and $100K,Maybe,10% ~  20%,<$10/m2,Comfort level,Window,Below 10%,Fair/acceptable price,Kitchen,5~10 years,Less than 2 months.,No,pass,Consult professional services/ companies for help
27,Australia,No,Home,Sub-urban,1~2,Stand alone house,Improve the functionality of home,Renovation service providers,Less costly energy-efficient solutions,Energy efficiency solutions,Top Google Search Results,Good reputation/ review ratings among previous customers,Less than $40k,Yes,10% ~  20%,$10/m2 ~  $20/m2,Comfort level,Roof,Below 10%,Design including materials & technologies used,Bathroom,1~5 years,3 to 6 months.,No,pass,Consult professional services/ companies for help
28,Australia,Not sure,Home,Urban,3~5,Stand alone house,Lower energy costs,Renovation service providers,Solutions recommended by reputed technical experts,Energy efficiency evaluation.,Top Google Search Results,Good reputation/ review ratings among previous customers,Less than $40k,Yes,5% ~ 10%,<$10/m2,Efficiency,Roof,Below 10%,Living comfortably,Kitchen,5~10 years,3 to 6 months.,Yes,Yes,pass
29,Australia,No,Home,Urban,3~5,Apartment/Unit,Improve the functionality of home,Renovation service providers,Government reforms,Preview of the renovating result,Top Google Search Results,Good reputation/ review ratings among previous customers,Between $100K and $200K,Yes,10% ~  20%,$20/m2 ~  $30/m2,Other(please fill in)〖functionality〗,Roof,Below 10%,Design including materials & technologies used,Kitchen,I have never renovated my home.,7 to 12 months.,No,pass,Consult professional services/ companies for help
30,North America,No,Rental,Urban,3~5,Apartment/Unit,Improve the functionality of home,Renovation service providers,Less costly energy-efficient solutions,Price estimation,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Attracted by its website page/ app design,Between $40K and $100K,Maybe,5% ~ 10%,$10/m2 ~  $20/m2,Comfort level,Wall,Below 10%,Living comfortably,Bathroom,1~5 years,More than 1 year.,No,pass,Consult professional services/ companies for help
31,North America,Not sure,Rental,Urban,1~2,Apartment/Unit,Improve the functionality of home,Online forums,Solutions recommended by reputed technical experts,Price estimation,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Attracted by its previous successful cases with other customers,Between $40K and $100K,Maybe,5% ~ 10%,<$10/m2,Comfort level,Wall,0%,Living comfortably,Bedroom,1~5 years,Less than 2 months.,No,pass,Consult professional services/ companies for help
32,Europe,Not sure,Home,Sub-urban,1~2,Apartment/Unit,Improve the functionality of home,Trustworthy friend,Less costly energy-efficient solutions,Price estimation,Top Google Search Results,Good reputation/ review ratings among previous customers,Less than $40k,Maybe,10% ~  20%,<$10/m2,Price,Roof,0%,Design including materials & technologies used,Study,5~10 years,Less than 2 months.,No,pass,Consult professional services/ companies for help
33,Australia,No,Home,Urban,1~2,Apartment/Unit,Improve the functionality of home,Online forums,Government reforms,Energy efficiency evaluation.,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Attracted by its previous successful cases with other customers,Less than $40k,Maybe,5% ~ 10%,<$10/m2,Comfort level,Wall,0%,Fair/acceptable price,Kitchen,I have never renovated my home.,More than 1 year.,Yes,Yes,pass
34,Europe,Not sure,Home,Urban,1~2,Apartment/Unit,Change of lifestyle,Renovation service providers,Less costly energy-efficient solutions,Price estimation,Top Google Search Results,A more favorable price compared with other companies,Less than $40k,Maybe,<5%,<$10/m2,Comfort level,Wall,0%,Design including materials & technologies used,Kitchen,I have never renovated my home.,3 to 6 months.,No,pass,Consult professional services/ companies for help
35,Europe,Yes,Home,Urban,3~5,Apartment/Unit,Improve the functionality of home,Renovation service providers,Less costly energy-efficient solutions,Energy efficiency evaluation.,"Video ads on streaming platforms(Youtube, Tiktok)",Attracted by its previous successful cases with other customers,Between $40K and $100K,Yes,<5%,$10/m2 ~  $20/m2,Comfort level,Wall,Below 10%,Fair/acceptable price,Bedroom,1~5 years,Less than 2 months.,No,pass,Consult professional services/ companies for help
36,North America,Not sure,Home,Urban,1~2,Apartment/Unit,Improve the functionality of home,Trustworthy friend,Less costly energy-efficient solutions,Preview of the renovating result,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Good reputation/ review ratings among previous customers,Between $40K and $100K,Maybe,<5%,<$10/m2,Comfort level,Wall,0%,Living comfortably,Bedroom,5~10 years,Less than 2 months.,No,pass,Consult professional services/ companies for help
37,Australia,Yes,Home,Urban,3~5,Stand alone house,Lower energy costs,Online forums,Less costly energy-efficient solutions,Price estimation,"Video ads on streaming platforms(Youtube, Tiktok)",Good reputation/ review ratings among previous customers,Less than $40k,Maybe,<5%,<$10/m2,Price,Roof,Below 10%,Living comfortably,Bathroom,1~5 years,3 to 6 months.,No,pass,Ask experienced friends to help
38,North America,Yes,Home,Urban,3~5,Stand alone house,Lower energy costs,Renovation service providers,Less costly energy-efficient solutions,Energy efficiency evaluation.,Top Google Search Results,Attracted by its previous successful cases with other customers,Between $100K and $200K,Yes,5% ~ 10%,<$10/m2,Efficiency,Window,Below 10%,Design including materials & technologies used,Kitchen,1~5 years,Less than 2 months.,Yes,Yes,pass
39,South America,Not sure,Rental,Urban,3~5,Apartment/Unit,Enhance property value,Renovation service providers,Government reforms,Price estimation,"Social media ads (Ins, Facebook, Twitter,Pinterest, Snapchat)",Good reputation/ review ratings among previous customers,Between $40K and $100K,Maybe,<5%,<$10/m2,Comfort level,Window,Below 10%,Design including materials & technologies used,Kitchen,5~10 years,3 to 6 months.,Yes,Yes,pass
40,Europe,Not sure,Rental,Urban,1~2,Apartment/Unit,Improve the functionality of home,Renovation service providers,Less costly energy-efficient solutions,Preview of the renovating result,"Video ads on streaming platforms(Youtube, Tiktok)",Good reputation/ review ratings among previous customers,Less than $40k,Maybe,<5%,<$10/m2,Comfort level,Window,Below 10%,Design including materials & technologies used,Kitchen,1~5 years,Less than 2 months.,No,pass,Consult professional services/ companies for help
41,Australia,No,Home,Urban,1~2,Apartment/Unit,Lower energy costs,Renovation service providers,Less costly energy-efficient solutions,Price estimation,Top Google Search Results,Attracted by its previous successful cases with other customers,Between $100K and $200K,Maybe,<5%,$10/m2 ~  $20/m2,Efficiency,Roof,Below 10%,Fair/acceptable price,Kitchen,5~10 years,3 to 6 months.,No,pass,Consult professional services/ companies for help
